"Scenario","Correct","Timestamp","Datetime","t1_casque","t1_visiere","t1_col","t1_gant_gauche","t1_gant_droit","t2_casque","t2_visiere","t2_veste","t2_col","danger"
"5","0","1626965720",2021-07-22 14:55:20,NA,NA,NA,NA,NA,"0","0","0","0","0"
"5","0","1626965736",2021-07-22 14:55:36,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965751",2021-07-22 14:55:51,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965766",2021-07-22 14:56:06,NA,NA,NA,NA,NA,"1","0","0","0","0"
"5","0","1626965782",2021-07-22 14:56:22,NA,NA,NA,NA,NA,"1","0","0","0","0"
"1","1","1626084505",2021-07-12 10:08:25,NA,NA,NA,NA,NA,"1","0","0","1","0"
"1","1","1626084530",2021-07-12 10:08:50,NA,NA,NA,NA,NA,"1","0","0","0","0"
"1","1","1626084556",2021-07-12 10:09:16,NA,NA,NA,NA,NA,"1","0","0","0","0"
"1","1","1626084853",2021-07-12 10:14:13,NA,NA,NA,NA,NA,"1","0","1","0","0"
"1","1","1626084878",2021-07-12 10:14:38,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626084904",2021-07-12 10:15:04,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626084929",2021-07-12 10:15:29,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626084955",2021-07-12 10:15:55,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626084981",2021-07-12 10:16:21,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085006",2021-07-12 10:16:46,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085032",2021-07-12 10:17:12,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085058",2021-07-12 10:17:38,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085083",2021-07-12 10:18:03,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085109",2021-07-12 10:18:29,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085134",2021-07-12 10:18:54,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085160",2021-07-12 10:19:20,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085186",2021-07-12 10:19:46,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085211",2021-07-12 10:20:11,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085237",2021-07-12 10:20:37,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085263",2021-07-12 10:21:03,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085288",2021-07-12 10:21:28,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085314",2021-07-12 10:21:54,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085339",2021-07-12 10:22:19,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085365",2021-07-12 10:22:45,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085391",2021-07-12 10:23:11,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626085416",2021-07-12 10:23:36,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085443",2021-07-12 10:24:03,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085468",2021-07-12 10:24:28,NA,NA,NA,NA,NA,"0","0","1","1","0"
"1","1","1626085494",2021-07-12 10:24:54,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085520",2021-07-12 10:25:20,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085545",2021-07-12 10:25:45,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085571",2021-07-12 10:26:11,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085596",2021-07-12 10:26:36,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085622",2021-07-12 10:27:02,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085648",2021-07-12 10:27:28,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085673",2021-07-12 10:27:53,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085699",2021-07-12 10:28:19,NA,NA,NA,NA,NA,"0","1","1","1","0"
"1","1","1626085725",2021-07-12 10:28:45,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626085750",2021-07-12 10:29:10,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626085776",2021-07-12 10:29:36,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626085802",2021-07-12 10:30:02,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626085827",2021-07-12 10:30:27,NA,NA,NA,NA,NA,"1","1","1","1","0"
"1","1","1626085853",2021-07-12 10:30:53,NA,NA,NA,NA,NA,"1","0","1","1","0"
"1","1","1626085878",2021-07-12 10:31:18,NA,NA,NA,NA,NA,"1","0","1","0","0"
"1","1","1626085904",2021-07-12 10:31:44,NA,NA,NA,NA,NA,"1","0","0","0","0"
"1","0","1626087111",2021-07-12 10:51:51,NA,NA,NA,NA,NA,"0","0","0","0","0"
"1","0","1626087136",2021-07-12 10:52:16,NA,NA,NA,NA,NA,"0","0","0","0","0"
"1","0","1626087162",2021-07-12 10:52:42,NA,NA,NA,NA,NA,"0","0","0","0","0"
"1","0","1626087187",2021-07-12 10:53:07,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087213",2021-07-12 10:53:33,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087239",2021-07-12 10:53:59,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087264",2021-07-12 10:54:24,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087290",2021-07-12 10:54:50,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087316",2021-07-12 10:55:16,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087341",2021-07-12 10:55:41,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087367",2021-07-12 10:56:07,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087392",2021-07-12 10:56:32,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087418",2021-07-12 10:56:58,NA,NA,NA,NA,NA,"1","0","0","0","1"
"1","0","1626087444",2021-07-12 10:57:24,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087469",2021-07-12 10:57:49,NA,NA,NA,NA,NA,"0","0","0","0","1"
"1","0","1626087495",2021-07-12 10:58:15,NA,NA,NA,NA,NA,"0","0","0","0","1"
